review,sentiment
"Rather than go on location and make a realistic film about drug addiction in the Windy City, contrarian director Otto Preminger decided to go the opposite way and make his movie appear as artificial as possible, thus flying in the face of the fashion set by men like Kazan, Huston and Zinnemann, who were making their pictures all over the world. Nelson Algren, on whose novel the movie is based, went on record as despising it. What, one wonders, was Preminger up to, and why did he do the movie this way?<br /><br />The sets in the film are so minimal as to suggest a Mr. Magoo cartoon. Louie, the drug pusher, is attired as to resemble the sort of gangster the artists at Mad magazine used to draw. Arnold Stang, wonderful comedian that he was, seems out of place in a serious picture like this, and his very appearance, topped off by an exaggerated and over-sized baseball cap, elicits laughter. Robert Strauss, another actor best known for humorous roles, is likewise out of place, as his large, heavily jowled face and Runyonesque delivery of lines seems more appropriate to a Jerry Lewis movie. Against all this, stars Frank Sinatra, Kim Novak and Eleanor Parker have to work overtime to just keep the viewer from snickering. Sinatra is jittery and manic throughout, suggesting a man ill at ease with himself, hence wholly appropriate for the role of a drug addict. Miss Novak, plant-like and sublimely deadpan, is sympathetic and seems a product of the artfully dingy slums she graces in the film. Parker is pure Hollywood and very hard-working as the crippled and crafty Zosch. She is never convincing, but then neither is the film.<br /><br />I wouldn't recommend this movie to anyone interested in a realistic depiction of the lives of drug addicts in America. The Caligari sets alone make it unbelievable. Preminger may have been aiming for a dream effect, as the cardboard backgrounds give the proceedings the surreal feeling of a nightmare operetta, perhaps harking back to Preminger's early days in Vienna.",positive
Being that this movie has a lot of fine entertainment qualities I think it should some more credit than it has been given on imdb.<br /><br />It's your basic 'who done it?' thriller with sex and murder but it keeps you guessing right to the end. I like these kinds of movies and I certainly think this one meets the standard.<br /><br />To me it was worth watching more than once so I'll give it an 8 on imdb.,positive
"The Ghost Walks is a nifty little mystery with a great twist, snappy dialog, and best of all a pansy played to the twittery hilt by character actor Johnny Arthur which never demeans or denigrates his character. Mr. Arthur is great in his role of Homer Erskine bringing great comic relief as the secretary of the Broadway producer Herman Wood, played by another great character actor Richard Carle.<br /><br />They play off of each other superbly.<br /><br />Although the acceptable words of the time sissy and cream puff are used to describe the character of Homer, it is never mean spirited or meant as denigration, and are not spoken by the manly males of the film but by his employer, who fires and rehires him every other scene and who displays an almost exasperated affection for his devoted employee.<br /><br />There is a great scene where Homer tells his boss that he has devoted the best years of his life to him and has been everything but a mother to him.<br /><br />The mystery angle of the film is very entertaining, and the twist at the end might just leave you in stitches.<br /><br />For a low budget poverty row picture, this film has superb set decoration and great costuming.<br /><br />Director Frank Strayer ably handles his cast and this film holds together much better than some of his other low budget mystery attempts, but he had a great script to work with and some wonderful actors to carry it through.<br /><br />This film is a must see for devotees of poverty row films, old dark house mysteries (they actually managed to work in the lines ""It was a dark and stormy night)and it has the added bonus of being an early representation of a gay character in film where nothing bad happens to them in the end.<br /><br />This movie is available for download in the public domain film section of the Internet Archive at archive.org.",positive
"I am no Ebert. What I am is a compassionate and I have never felt more compassion for a fictional character than I felt for Leland P. Fitzgerald. Sorry if I do not offer a critique, but I see nothing but perfection in this film. I am sure that many who watch this film will never see the same things I do, but if you look hard enough maybe you will see something you weren't expecting. I've read that the character of Leland was flawed. It seems to me that who wrote this was not able to see past the Question this movie presents. I feel sorry for anyone who doesn't see the answers this movie delivers. Open your heart more than your mind and you may be able to let this Leland P. Fitzgerald show you a world that truly has a meaning. Excepcional story with extraordinary acting. Ryan Gosling deserves to be talked about.",positive
"This is one of my all-time favorite films, and while it may move too slowly for some, it's well worth seeing. A corporate lawyer (Richard Chamberlain) is dragged into a case involving ""city"" Aborigines, and this is no ordinary case. OK, a man has died but it wasn't exactly a normal killing. There has also been a greater than average amount of rain lately, and the atmosphere of most of the film is somewhat claustrophobic & oppressive. The Aborigines are harboring a secret and refuse to spill the beans. This has a lot to do with white men making assumptions about ""City"" vs. ""Tribal"" Aborigines, and of course no Abo in the big city would practice tribal ways. Uh huh. Chamberlain is having strange dreams and he is somehow the key to what's happening, although no matter how many times I've seen this I can't quite grasp the exact connection. This is a very eerie and creepy film, and is a fine example of Peter Weir's ability to create tension out of nothing. The ending is a little ambiguous but I take it literally, it's the easiest way out and the scariest. 10 out of 10 and highly recommended.",positive
"This show is about three little girls. (D.J, Stephanie, and Michelle) Their Mother is killed by a drunk driver so their father Danny invites his Brother-in-law (Jesse) and his Old Friend(Joey). So the whole show is about living life. The girls go through life's troubles and have life lessons. They develop crushes, boyfriends, and many more. The whole show is basically about to go with the flow. You do not have to hold grudges you just have to let it go. I think this show is really good and fun to watch. I grew up watching this show and still watch it today. I am glad they still air this show on television. I watch it almost every day. I rate it 10/10.",positive
"Based on Elmore Leonard, this is a violent and intelligent action film. The story: a business man is blackmailed by some 3 criminals. Roy Schieder does great job as the leading character and special credit's got to go to John Glover who plays sort of a naughty psychopath. I must mention that the villains characters are very complex and interesting - something that is very rare for an action film. also features some beautiful and sexy women - most notable are Kelly Preston as the young bate for Schieder's character. Vanity gives a very good performance and appearance as the hooker who is connected with the three blackmailers. I'm glad to say that Ann-Margaret still hasn't lost it - this lady is a true babe. Don't look at the rate of this film. I really don't know what the public and some critics have against this film but my suggestion is to ignore them and watch this truly gripping and under-rated film. You will enjoy it, that's a promise. Recommended A+.",positive
"It is now clear that the true golden age of American film was from the mid-60s until just before the release of Star Wars. Before then, there was too much Hays Code-constricted pap. With Star Wars, the green light was lit for most films to be directed at children and morons, a practice which continues to this day. THE SEVEN-UPS, truth be told, contains a couple hackneyed lines of dialogue -- ""We can do this the easy way, or we can do it the hard way"" is one -- but I'm damned if I can find anything else wrong with it. (In fact, that line may not even have been stale when this film was made.) THE SEVEN-UPS demonstrates all that was right with the best films of the golden age: sparse dialogue, realistic acting, real locations (winter in a dirty New York has never looked better/worse), propulsive stories, and, yes, the best car chase ever filmed. Bill Hickman is the driver Scheider is chasing (you will recognize him from Bullitt), and the structure of the chase is fairly similar to the McQueen one, but I prefer Scheider's facial intensity here, the pacing, the terrific close-ups of the schoolchildren, and the shattering conclusion. (That VW bug going about 2 mph always bothers me in the Bullitt chase.) A stringy, screechy score by Don Ellis sets the perfect mood. THE SEVEN UPS: bleak, grim, action-oriented, grown-up. This is a film that couldn't be made today; there's no ""gimmick"" for the kiddies or preposterous ending. Thank you, Philip D'Antoni, Roy Scheider and Tony Lo Bianco: for as long as cop films are watched, THE SEVEN-UPS and its 1970s brethren (e.g., THE FRENCH CONNECTION), will set the standard.",positive
"At times I really wonder when I look at the comments here it seems as if most people have seen a completely different film than I have. I've just seen it... and liked it. Not in the way, that it made me happy, but in the way of having seen a good film!<br /><br />The film needs some patience, yes. And yes, the main character is REALLY annoying, but that I'm sure is by intention.<br /><br />Maybe it really makes a difference if you watch this film in a cinema or at home. Most people watch films at home like they are listening to elevator music. This movie definitely doesn't fit as background noise.<br /><br />And no. Good directing doesn't mean having five laughs or explosions a second. Good directing means following your subject and keeping the story and actors together. And while that doesn't work out perfectly, at least I think it works quite good.<br /><br />I liked the photography and sets, even if they brink on the surreal at times. The opening scene is really special.<br /><br />I also liked the acting  Guillaume Depardieu is NOT playing Pierre. He is acting the role of a Pierre who is himself playing a role! Pierre is not the romantic hero that he so hard tries to be, he is a presumptuous and self-righteous idiot, a downright weakling who by and by harms all the people he claims to protect. That even his love for truth is simply a pose is beautifully demonstrated by his ongoing lying and not even once asking questions or explaining himself.<br /><br />People are wondering where this or that person came from and other stuff: No character who is seen for more than two scenes is left unexplained, there is enough information scattered throughout the film on everyone.<br /><br />And even the strange building begins to make sense as soon as the target practicing is seen: Remember that Isabelle fled from a war zone - and obviously this is a refuge for fighters in a civil war, most likely Bosnia (which was still going on, when the film was produced). At least that's what is hinted at by the story Isabelle tells Pierre when she first meets him and by the later scene where Pierre shows Isabelle the book with his father on the cover, which is surrounded by books on Bosnia.",positive
"When you start watching this animation-masterpiece, you quickly notice, that it's a European production. Although the Europeans have (sadly) integrated some of the clichés you would normally find in an American production of this kind, most are missing. One of these is that there is an overwhelming evil that only our (very few and very unlikely) heroes can vanquish. Another is that one of the group is only in the business for the money, is greedy, runs away when the heat is up but somehow gives in to his better nature. This movie would have been better off without both.<br /><br />The movie is based upon a TV-Series that was out four years before the movie. Unlike the movie, the TV-Series is a cartoon and not a computer animation. At first I thought the computer would kill the charm and character of the plot but I was quickliy convinced: Whoever did the animation knew his or her stuff! Although the characters are obviously fictional (in stills they don't even look real), they seem as alive and sentient as the audience following their quest. Making characters who by ""normal"" standards could be considered deformed (those micro-legs could never carry that giant body let alone make it jump) so alive and lovable is more than ""just a highlight""! The creation of the world is another masterpiece. Not so much because of its looks but because of the inventiveness of it. The world our heroes travel is not solid like our own but is made of many pieces of land varying in shape and size that seem to be floating in mid air. When a person steps on a smaller fragment of ground, it nods a little bit as if feathering from the weight. In some cases up and down no longer apply but our heroes still manage to get a foothold somewhere. Although the world of floating islands is completely surreal, in this movie it is absolutely believable and after a short time it doesn't seem any weirder than running into a car somewhere in New York.<br /><br />I wrote that the looks of the world aren't as breathtaking as the idea. As true as that might be to my mind, the quality of the world, the characters and the attention to details is staggering. Although the faces of the characters have relatively few attributes, emotions can be read as clearly as in Sean Connery's or Dustin Hoffman's face. The world around the characters is wonderfully colourful and no two settings are alike. The background is always in motion, something is always going on which makes the world seem even more alive. If you stop the movie and look at the background you will be surprised how many details you can find.<br /><br />The existence of Hector actually puts the cherry on top. Hector is a furry little ""thing"" (possibly the equivalent of a dog in our world) who is totally lovable and extremely funny. Although he isn't really important for the main plot, he would be missed like Scrat would be in Ice Age. The really cool thing about Hector is that you need to speak Gibberish to understand him.<br /><br />If the movie is so great, why didn't I give it 10 stars? Well, the plot in itself was rather thin. Two hunters are sent out to rescue the world from a really bad dragon who wants to swallow the world, isn't really original. That in itself wouldn't be much of a problem. What I missed was the background information. What kind of a dragon was this and why did it look that way? I love mythical stories but if they get too thin then they seem to be written after the movie is finished in a feeble attempt to give the whole thing some depth.<br /><br />Another thing I didn't like was Zoé. Although a little girl like her could be considered adorable, she was somewhat of a pain in this movie. She seemed pretty resistant to all types of learning about reality, kept dreaming of some hero from a story book and basically slowed the others down. She would have been OK if she had developed a little more and a little earlier in the movie - or had been less of a girly to start with. To me the idea of this girl who was there to twist the story a little backfired on the writers.<br /><br />All in all, this is a really good movie for just about all ages.",positive
